iter	RMSE
0	1.767768315
1	1.69439803
2	1.626123065
3	1.557969753
4	1.4969199
5	1.435083585
6	1.376456533
7	1.321677608
8	1.268233696
9	1.215883275
10	1.170014101
11	1.123890431
12	1.079326317
13	1.039116825
14	0.9992439878
15	0.9596211372
16	0.924006423
17	0.8895403041
18	0.860545506
19	0.829693609
20	0.7997230267
21	0.7728690071
22	0.7451868677
23	0.7191380414
24	0.6952538843
25	0.6736870183
26	0.651190174
27	0.6305824638
28	0.6103051781
29	0.5917259929
30	0.573926677
31	0.5569050917
32	0.5399563668
33	0.5248490482
34	0.5102683316
35	0.4959264902
36	0.4825504789
37	0.4700260871
38	0.4580369035
39	0.4470621281
40	0.436870788
41	0.4264562268
42	0.4171706162
43	0.4085714488
44	0.39964522
45	0.3921764324
46	0.3842269646
47	0.3769874753
48	0.370116457
49	0.3640403427
50	0.3576037536
51	0.3520292034
52	0.3457487969
53	0.3400342058
54	0.3357832461
55	0.3308683694
56	0.3266258182
57	0.3226540591
58	0.3190456862
59	0.3149526024
60	0.3113922757
61	0.3081705485
62	0.3047336824
63	0.3020708652
64	0.2996181573
65	0.2968703662
66	0.2941987863
67	0.2915135104
68	0.2890174975
69	0.28690237
70	0.2850468926
71	0.2825947526
72	0.2808183121
73	0.2789715148
74	0.277533264
75	0.2755836742
76	0.2736367622
77	0.2719902367
78	0.2704296665
79	0.2688784336
80	0.2672790744
81	0.2659274836
82	0.2646057007
83	0.2634018932
84	0.2623357954
85	0.2614461285
86	0.2604479025
87	0.2593324261
88	0.2580426334
89	0.2573140083
90	0.2562040916
91	0.2551784329
92	0.2543908556
93	0.2536144422
94	0.2524517361
95	0.251660922
96	0.2507296384
97	0.2497392013
98	0.249161323
99	0.2482402054
100	0.2474029304
101	0.246528466
102	0.245905201
103	0.2451518509
104	0.2443193701
105	0.2437356468
106	0.2432012899
107	0.2428952202
108	0.2424243283
109	0.2416564265
110	0.2409632897
111	0.2403262516
112	0.2397826222
113	0.2387831432
114	0.2383718363
115	0.2378795493
116	0.2374425372
117	0.2366490901
118	0.2361796439
119	0.23572876
120	0.2351382336
121	0.2345940677
122	0.2340961182
123	0.2329831631
124	0.2320590254
125	0.2312973445
126	0.2307732011
127	0.2300535069
128	0.2294855153
129	0.2291199005
130	0.2283503913
131	0.2279661604
132	0.2275633433
133	0.2271361671
134	0.226497121
135	0.226084072
136	0.2255035728
137	0.2248570623
138	0.2243961173
139	0.2239823562
140	0.2236292765
141	0.223239805
142	0.2228505693
143	0.2220450196
144	0.2213074417
145	0.2209802572
146	0.220540677
147	0.219789455
148	0.2193705075
149	0.2187161008
150	0.2183916228
151	0.2181513391
152	0.217757277
153	0.2171740214
154	0.2168115285
155	0.2162907147
156	0.2158755779
157	0.2154660424
158	0.2150183333
159	0.2147863546
160	0.2146217415
161	0.2138907185
162	0.2135198586
163	0.2127518955
164	0.2126065046
165	0.2118998465
166	0.2112924414
167	0.2107483953
168	0.2101162857
169	0.2096969352
170	0.2095508028
171	0.2090984852
172	0.2085493905
173	0.2079442374
174	0.2074023674
175	0.2071091995
176	0.2068533868
177	0.2064117743
178	0.2061616612
179	0.2059423956
180	0.205609348
181	0.2052506816
182	0.2049394492
183	0.2044825024
184	0.2041868016
185	0.2039845391
186	0.2034812512
187	0.202884709
188	0.2027064507
189	0.2022535063
190	0.2016715621
191	0.2014018117
192	0.2011214944
193	0.2005781736
194	0.200236615
195	0.1999350228
196	0.1995696746
197	0.1992593982
198	0.1990848251
199	0.1985858679
200	0.1984353057
201	0.1978868736
202	0.1977229911
203	0.1972707795
204	0.1970280494
205	0.1968416715
206	0.1965895518
207	0.1961549075
208	0.1958603165
209	0.1953786953
210	0.1951057701
211	0.1946959253
212	0.1944931934
213	0.194158375
214	0.1937389822
215	0.1933967681
216	0.1929682087
217	0.1927339937
218	0.1923297416
219	0.1920071623
220	0.1914420119
221	0.1910609939
222	0.1908692644
223	0.1905338339
224	0.1902882852
225	0.1899231054
226	0.1895178933
227	0.1891893616
228	0.1887789471
229	0.1885273854
230	0.1882106129
231	0.1880041167
232	0.1877198202
233	0.1873189872
234	0.187021723
235	0.18673714
236	0.1864995666
237	0.1862967248
238	0.1858764949
239	0.1857020589
240	0.1854807332
241	0.1854051259
242	0.1851651032
243	0.1848379919
244	0.184718914
245	0.1842841134
246	0.1840300829
247	0.1836590389
248	0.18321554
249	0.1831685616
250	0.1829957805
251	0.1828220041
252	0.1824516202
253	0.1820355666
254	0.1816440732
255	0.1812446085
256	0.1810405206
257	0.1806956582
258	0.1806385271
259	0.1805763465
260	0.1805354585
261	0.1800662889
262	0.1798785984
263	0.1795793361
264	0.1794226513
265	0.1792319165
266	0.1790750285
267	0.1788156261
268	0.1786449802
269	0.1784449323
270	0.1784077756
271	0.178000526
272	0.1777188197
273	0.1774288408
274	0.1769846644
275	0.1767076132
276	0.1764665708
277	0.1762765065
278	0.1761150866
279	0.1758670486
280	0.1756656162
281	0.1753985537
282	0.175029696
283	0.174894278
284	0.1747445293
285	0.1746048009
286	0.1742160778
287	0.174164646
288	0.1738151978
289	0.1733600049
290	0.1732042054
291	0.1728951307
292	0.1726418995
293	0.1723929861
294	0.1721302704
295	0.1721003132
296	0.1720540826
297	0.1718374797
298	0.1716206998
299	0.17128125
300	0.1711494059
301	0.1710248111
302	0.1707571815
303	0.1705327267
304	0.1703336575
305	0.170116516
306	0.1698586961
307	0.1696307865
308	0.1695127788
309	0.169482797
310	0.1691950144
311	0.1690252775
312	0.1689417962
313	0.1684729995
314	0.1682835035
315	0.1682466568
316	0.1680239161
317	0.1679087848
318	0.167701647
319	0.167494537
320	0.1672835916
321	0.1670135282
322	0.1668142522
323	0.1665150542
324	0.1664834726
325	0.1663292634
326	0.1662995034
327	0.1662392771
328	0.1662161515
329	0.1661879833
330	0.1661621999
331	0.1659837453
332	0.1659566099
333	0.1659106694
334	0.1658851898
335	0.1657763659
336	0.1657062688
337	0.1656623877
338	0.1656206025
339	0.1655623473
340	0.1652606977
341	0.1652249538
342	0.1651208159
343	0.1650995214
344	0.1650002549
345	0.1649571892
346	0.1648821109
347	0.1647785157
348	0.1644998446
349	0.164312384
350	0.1642154498
351	0.1641422963
352	0.1641087032
353	0.1638955303
354	0.1637785469
355	0.1635121078
356	0.1633239906
357	0.1629346342
358	0.1627349511
359	0.1624901706
360	0.1624127281
361	0.1622882906
362	0.1620506404
363	0.1619722748
364	0.1618328796
365	0.1616551033
366	0.1614758027
367	0.1613967782
368	0.1612061867
369	0.1610729868
370	0.1607743812
371	0.1606148565
372	0.1604476402
373	0.1604235194
374	0.1602121458
375	0.1600193583
376	0.1598796221
377	0.1597722382
378	0.1596270575
379	0.1595045969
380	0.1593162818
381	0.1592370282
382	0.1591853149
383	0.158889653
384	0.1585861825
385	0.1585705612
386	0.158422214
387	0.1581557771
388	0.1579911865
389	0.157832804
390	0.1575503388
391	0.157386521
392	0.1570961601
393	0.1570109712
394	0.1568340179
395	0.1566356847
396	0.1565449554
397	0.1564329661
398	0.1563619181
399	0.1561821394
400	0.1559796435
401	0.155865679
402	0.1556566448
403	0.1552731009
404	0.1551769035
405	0.1550795929
406	0.1549468909
407	0.154725662
408	0.1546403103
409	0.1546239228
410	0.1544359031
411	0.154180755
412	0.154099476
413	0.1539589912
414	0.1537856549
415	0.1537284415
416	0.1536039961
417	0.1534985985
418	0.1531082421
419	0.1529183194
420	0.1526768331
421	0.1525441635
422	0.1524407843
423	0.1523633807
424	0.1521810769
425	0.152055678
426	0.151942143
427	0.151802116
428	0.151705267
429	0.1515339666
430	0.1513358523
431	0.1510939933
432	0.1509862594
433	0.1508386514
434	0.1506774134
435	0.1503111463
436	0.1500192398
437	0.149915136
438	0.1499026352
439	0.149816633
440	0.1496557904
441	0.1494999261
442	0.1493439241
443	0.149245198
444	0.1491162491
445	0.1488474421
446	0.1487598733
447	0.1486237848
448	0.1485714013
449	0.1484307313
450	0.1482854645
451	0.1482029753
452	0.1480880541
453	0.1479701338
454	0.1478764888
455	0.1476871472
456	0.1474822897
457	0.1473559081
458	0.1470485717
459	0.1469749917
460	0.1467319761
461	0.1465022528
462	0.1463751705
463	0.1463024554
464	0.1461457346
465	0.1460774134
466	0.145892479
467	0.1458272955
468	0.1453971912
469	0.145293469
470	0.1452117073
471	0.1451380301
472	0.1450701475
473	0.1448423949
474	0.144611752
475	0.144527502
476	0.1444294412
477	0.1442279652
478	0.1440975639
479	0.1440041399
480	0.1438525355
481	0.1437113163
482	0.1434913693
483	0.1434305978
484	0.143329024
485	0.1430409484
486	0.142883503
487	0.1425931577
488	0.1424995665
489	0.1422232923
490	0.1420371177
491	0.1418964116
492	0.1418208965
493	0.1417427326
494	0.1415793941
495	0.1414110724
496	0.1411893252
497	0.1410258395
498	0.1409790358
499	0.1408832814
500	0.1406732622
501	0.1405749419
502	0.1402035847
503	0.1401473034
504	0.1400667482
505	0.1400109428
506	0.1399081176
507	0.1396967136
508	0.1395160076
509	0.1394437718
510	0.1393515342
511	0.1392722878
512	0.1390431841
513	0.139012992
514	0.138973997
515	0.1388531873
516	0.1386797899
517	0.1385214392
518	0.1384283177
519	0.1381411885
520	0.1380515986
521	0.1379183948
522	0.1378390837
523	0.1374779198
524	0.137287703
525	0.1371664053
526	0.1370199476
527	0.1369150998
528	0.1368402414
529	0.1367045028
530	0.1366085958
531	0.1365133483
532	0.1363973625
533	0.1362891586
534	0.1361575759
535	0.1360173488
536	0.1359684047
537	0.1356171623
538	0.1355543453
539	0.1354734512
540	0.1353776929
541	0.1352127865
542	0.1349701643
543	0.1348039538
544	0.1347182324
545	0.1346245941
546	0.134557023
547	0.1344736186
548	0.1343137979
549	0.1341322744
550	0.1339854834
551	0.1339409574
552	0.1339000556
553	0.1338271346
554	0.133693893
555	0.1336047733
556	0.1335119309
557	0.1332982033
558	0.13300902
559	0.1328887757
560	0.132767346
561	0.1326784186
562	0.1325285714
563	0.1324579822
564	0.1323667841
565	0.1322648937
566	0.1321158876
567	0.1320337105
568	0.131666778
569	0.1315243712
570	0.1314015087
571	0.131330008
572	0.1312259014
573	0.1311468665
574	0.1310110163
575	0.1309287663
576	0.1308556652
577	0.1307388544
578	0.1306604495
579	0.1304785687
580	0.1303592177
581	0.1302870056
582	0.1301956376
583	0.1300611461
584	0.129901965
585	0.1298388131
586	0.1297653044
587	0.1296852063
588	0.1296165926
589	0.1295142408
590	0.1295062303
591	0.1294512042
592	0.1294059383
593	0.1293405802
594	0.1292885356
595	0.1290627242
596	0.1289354992
597	0.1287722317
598	0.1286613392
599	0.1284216885
600	0.1282927501
601	0.1281944058
602	0.1280504
603	0.1279195505
604	0.127790534
605	0.1277030136
606	0.1274677412
607	0.1274246179
608	0.127195287
609	0.1271043585
610	0.1270159488
611	0.1268825909
612	0.1267358782
613	0.126691921
614	0.1265130318
615	0.1263285526
616	0.1261862836
617	0.1260932842
618	0.1260073458
619	0.12595619
620	0.125880596
621	0.1257808731
622	0.1257518484
623	0.1256495828
624	0.1255511768
625	0.1254787757
626	0.1253598537
627	0.1252980821
628	0.125238137
629	0.1251014385
630	0.124923677
631	0.1247664076
632	0.1246272501
633	0.1245078541
634	0.1244548206
635	0.1243418483
636	0.1242757839
637	0.124182832
638	0.1241065468
639	0.1238891802
640	0.123787768
641	0.1237217332
642	0.1236581586
643	0.1235923734
644	0.1235037243
645	0.1234101305
646	0.1233153138
647	0.1232017979
648	0.1230927574
649	0.123014741
650	0.122815236
651	0.1227535837
652	0.1226525286
653	0.122524514
654	0.1224312321
655	0.1223590227
656	0.1222266026
657	0.1221555395
658	0.1220245542
659	0.1219562442
660	0.1218678737
661	0.1218503613
662	0.1218269215
663	0.1217031017
664	0.1216446295
665	0.1215898417
666	0.1214803354
667	0.1214074539
668	0.1212979782
669	0.1211603964
670	0.1210913172
671	0.1209645448
672	0.1208255276
673	0.1206724847
674	0.1206418438
675	0.1205580843
676	0.1205233392
677	0.1204541832
678	0.1204045599
679	0.1203680996
680	0.1202274751
681	0.1201227017
682	0.1200256172
683	0.1199150559
684	0.1198772025
685	0.1198057822
686	0.1196882588
687	0.1196280253
688	0.1195486174
689	0.1194790533
690	0.1194267284
691	0.1193421537
692	0.119278629
693	0.1190119003
694	0.1189779823
695	0.1187767238
696	0.118677711
697	0.1186447874
698	0.1185810576
699	0.1185105277
700	0.1183816582
701	0.1182935382
702	0.1182074186
703	0.1181499367
704	0.1180869447
705	0.1179694707
706	0.1177471776
