iter	Passed	Remaining
0	11	11573
1	18	9444
2	24	7998
3	36	9107
4	40	8029
5	49	8248
6	54	7790
7	69	8620
8	74	8230
9	81	8091
10	85	7654
11	99	8196
12	102	7808
13	110	7782
14	113	7470
15	116	7135
16	118	6834
17	128	7033
18	130	6723
19	132	6489
20	134	6269
21	137	6119
22	142	6059
23	144	5887
24	146	5729
25	149	5583
26	160	5771
27	162	5635
28	166	5560
29	172	5578
30	175	5473
31	177	5374
32	184	5420
33	193	5488
34	198	5485
35	205	5497
36	207	5405
37	220	5570
38	223	5497
39	226	5430
40	229	5357
41	231	5282
42	233	5202
43	236	5127
44	238	5057
45	249	5167
46	251	5107
47	254	5045
48	257	4992
49	260	4957
50	263	4902
51	265	4843
52	275	4916
53	278	4879
54	280	4823
55	282	4767
56	285	4720
57	289	4699
58	292	4658
59	297	4654
60	312	4816
61	315	4775
62	318	4738
63	321	4698
64	324	4666
65	327	4629
66	344	4792
67	348	4776
68	353	4766
69	372	4954
70	378	4946
71	381	4913
72	383	4873
73	386	4835
74	388	4796
75	404	4923
76	407	4887
77	410	4854
78	413	4823
79	416	4787
80	419	4758
81	437	4897
82	440	4868
83	443	4832
84	445	4798
85	448	4765
86	462	4850
87	468	4853
88	470	4820
89	474	4797
90	482	4817
91	502	4957
92	505	4927
93	507	4893
94	510	4859
95	513	4833
96	530	4938
97	536	4934
98	540	4921
99	545	4906
100	562	5004
101	566	4987
102	570	4967
103	580	4997
104	583	4976
105	586	4946
106	596	4978
107	599	4948
108	601	4916
109	605	4902
110	618	4951
111	666	5285
112	676	5310
113	680	5286
114	682	5252
115	691	5267
116	696	5254
117	711	5317
118	722	5350
119	726	5327
120	729	5300
121	735	5293
122	740	5276
123	743	5249
124	745	5218
125	748	5190
126	755	5190
127	757	5160
128	759	5130
129	772	5173
130	781	5184
131	784	5155
132	786	5125
133	789	5102
134	799	5123
135	804	5113
136	813	5123
137	816	5099
138	818	5072
139	826	5076
140	832	5074
141	837	5061
142	839	5032
143	841	5003
144	849	5007
145	852	4983
146	858	4981
147	860	4956
148	863	4930
149	866	4908
150	870	4892
151	874	4877
152	876	4853
153	878	4828
154	881	4806
155	888	4807
156	892	4790
157	896	4776
158	903	4781
159	906	4758
160	914	4763
161	916	4741
162	919	4719
163	921	4696
164	923	4674
165	933	4692
166	936	4673
167	945	4683
168	948	4661
169	950	4639
170	951	4614
171	954	4592
172	961	4594
173	964	4577
174	967	4560
175	970	4544
176	978	4549
177	980	4528
178	982	4506
179	986	4492
180	991	4487
181	997	4482
182	1006	4491
183	1008	4471
184	1010	4452
185	1012	4432
186	1016	4420
187	1022	4414
188	1025	4400
189	1035	4416
190	1038	4400
191	1042	4385
192	1049	4389
193	1053	4375
194	1055	4356
195	1064	4367
196	1066	4349
197	1068	4329
198	1070	4309
199	1080	4323
200	1083	4305
201	1091	4312
202	1094	4295
203	1096	4280
204	1099	4264
205	1103	4255
206	1112	4260
207	1115	4245
208	1117	4229
209	1121	4220
210	1127	4215
211	1131	4204
212	1141	4219
213	1147	4213
214	1150	4201
215	1152	4184
216	1155	4169
217	1157	4153
218	1160	4138
219	1168	4141
220	1171	4127
221	1173	4112
222	1179	4108
223	1182	4097
224	1185	4083
225	1196	4097
226	1199	4083
227	1207	4088
228	1209	4072
229	1211	4057
230	1214	4041
231	1216	4027
232	1226	4037
233	1229	4026
234	1242	4043
235	1246	4034
236	1256	4046
237	1259	4033
238	1262	4018
239	1271	4027
240	1274	4013
241	1276	3998
242	1278	3983
243	1288	3991
244	1298	4000
245	1300	3987
246	1303	3973
247	1305	3958
248	1307	3943
249	1316	3948
250	1323	3949
251	1327	3940
252	1329	3926
253	1332	3912
254	1334	3898
255	1336	3884
256	1345	3890
257	1349	3882
258	1362	3899
259	1365	3886
260	1376	3898
261	1379	3885
262	1387	3887
263	1389	3874
264	1391	3860
265	1393	3846
266	1395	3832
267	1400	3825
268	1404	3817
269	1407	3804
270	1408	3790
271	1411	3776
272	1413	3763
273	1415	3749
274	1417	3736
275	1419	3723
276	1421	3710
277	1429	3713
278	1435	3708
279	1437	3697
280	1440	3684
281	1446	3683
282	1448	3670
283	1451	3658
284	1453	3645
285	1456	3636
286	1463	3634
287	1472	3639
288	1475	3630
289	1478	3618
290	1480	3606
291	1484	3598
292	1496	3612
293	1505	3616
294	1509	3608
295	1512	3596
296	1529	3620
297	1540	3630
298	1543	3619
299	1546	3608
300	1559	3620
301	1563	3613
302	1567	3606
303	1573	3601
304	1588	3620
305	1597	3623
306	1603	3618
307	1606	3610
308	1619	3621
309	1630	3629
310	1634	3621
